IATA	ID	Name	City	Country	ICAO
CLO	2715	Alfonso Bonilla Aragon International Airport	Cali	Colombia	SKCL
CLQ	1808	Licenciado Miguel de la Madrid Airport	Colima	Mexico	MMIA
CLS	9408	Chehalis Centralia Airport	Chehalis	United States	KCLS
CLT	3876	Charlotte Douglas International Airport	Charlotte	United States	KCLT
CLU	11816	Columbus Municipal Airport	Columbus	United States	KBAK
CLV	4215	Nelson Ribeiro Guimar?úes Airport	Caldas Novas	Brazil	SBCN
CLW	8565	Clearwater Air Park	Clearwater	United States	KCLW
CLY	1322	Calvi-Sainte-Catherine Airport	Calvi	France	LFKC
CMA	6258	Cunnamulla Airport	Cunnamulla	Australia	YCMU
CMB	3024	Bandaranaike International Colombo Airport	Colombo	Sri Lanka	VCBI
CMD	12019	Cootamundra Airport		Australia	YCTM
CME	1789	Ciudad del Carmen International Airport	Ciudad Del Carmen	Mexico	MMCE
CMF	1329	Chamb??ry-Savoie Airport	Chambery	France	LFLB
CMG	2544	Corumb?í International Airport	Corumba	Brazil	SBCR
CMH	3759	Port Columbus International Airport	Columbus	United States	KCMH
CMI	4049	University of Illinois Willard Airport	Champaign	United States	KCMI
CMK	5640	Club Makokola Airport	Club Makokola	Malawi	FWCM
CMN	1074	Mohammed V International Airport	Casablanca	Morocco	GMMN
CMP	7369	Santana do Araguaia Airport	Santana do Araguaia	Brazil	SNKE
CMQ	9901	Clermont Airport	Clermont	Australia	YCMT
CMR	1307	Colmar-Houssen Airport	Colmar	France	LFGA
CMU	5420	Chimbu Airport	Kundiawa	Papua New Guinea	AYCH
CMW	1904	Ignacio Agramonte International Airport	Camaguey	Cuba	MUCM
CMX	5732	Houghton County Memorial Airport	Hancock	United States	KCMX
CNB	6259	Coonamble Airport	Coonamble	Australia	YCNM
CNC	6254	Coconut Island Airport	Coconut Island	Australia	YCCT
CND	1651	Mihail Kog?âlniceanu International Airport	Constanta	Romania	LRCK
CNF	2537	Tancredo Neves International Airport	Belo Horizonte	Brazil	SBCF
CNG	1267	Cognac-Ch?óteaubernard (BA 709) Air Base	Cognac	France	LFBG
CNI	8974	Changhai Airport	Changhai	China	ZYCH
CNJ	6255	Cloncurry Airport	Cloncurry	Australia	YCCY
CNL	5579	Sindal Airport	Sindal	Denmark	EKSN
CNM	3597	Cavern City Air Terminal	Carlsbad	United States	KCNM
CNN	6091	Chulman Airport	Neryungri	Russia	UELL
CNO	10162	Chino Airport	Chino	United States	KCNO
CNP	5439	Neerlerit Inaat Airport	Neerlerit Inaat	Greenland	BGCO
CNQ	2468	Corrientes Airport	Corrientes	Argentina	SARC
CNR	11934	Cha??aral Airport	Cha??aral	Chile	SCRA
CNS	3322	Cairns International Airport	Cairns	Australia	YBCS
CNU	11825	Chanute Martin Johnson Airport	Chanute	United States	KCNU
CNW	3476	TSTC Waco Airport	Waco	United States	KCNW
CNX	3931	Chiang Mai International Airport	Chiang Mai	Thailand	VTCC
CNY	7074	Canyonlands Field	Moab	United States	KCNY
COC	2436	Comodoro Pierrestegui Airport	Concordia	Argentina	SAAC
COD	4344	Yellowstone Regional Airport	Cody	United States	KCOD
